Record Identifier,Response Code,Model ID,Delete Flag,Beneficiary HICN,Beneficiary Gender,Beneficiary Host ID,Beneficiary Effective Start Date,Beneficiary Effictive End Date,Beneficiary Medical Data Sharing Preference Indicator,QCP Indicator,Population Indicator
DTL_BEN,00-Sucess,NG ACO -V123,,A1A2S4D5F6E7,F,B,01/01/22,12/31/26,Y,,
DTL_BEN,20 - Detail Record ID Error,NG ACO -V123,,B2D4D8F4G5D7,F,C,01/01/22,12/31/26,Y,,S
DTL_BEN,00-Sucess,NG ACO -V123,,4D5F4D2D3D7D,M,D,01/01/22,12/31/26,N,,
DTL_BEN,00-Sucess,NG ACO -V123,,D4F6D78S41F2,F,E,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,96D5F7D8S6D2,F,F,01/01/22,12/31/26,N,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,F4D6S2S4D8S3,M,G,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,1S4DS64D7S65,M,H,01/01/22,12/31/26,N,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,F4G89D63F3G1D,U,I,01/01/22,12/31/26,N,,S
DTL_BEN,00-Sucess,NG ACO -V123,,F4D6S2S4D8S3S,F,J,01/01/22,12/31/26,Y,,
DTL_BEN,20 - Detail Record ID Error,NG ACO -V123,,EF8GC3F4S9F4R,M,B,01/01/22,12/31/26,N,,
DTL_BEN,00-Sucess,NG ACO -V123,,P7O5F4R7D9F6,F,D,01/01/22,12/31/26,Y,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,W4D5F6G2V1D5,M,B,01/01/22,12/31/26,N,,
DTL_BEN,00-Sucess,NG ACO -V123,,W6D5F1D23S4,U,C,01/01/22,12/31/26,Y,Y,
DTL_BEN,00-Sucess,NG ACO -V123,D,E4F5G7T6H2D,F,D,01/01/22,6/31/22,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,4D5E6F4GJ5K4,F,D,01/01/22,12/31/26,N,,S
DTL_BEN,00-Sucess,NG ACO -V123,,F5G6H3V20E4E6,M,E,01/01/22,12/31/26,N,,
DTL_BEN,00-Sucess,NG ACO -V123,,S4D2F3F6SD4S7,M,F,01/01/22,12/31/26,N,Y,
DTL_BEN,20 - Detail Record ID Error,NG ACO -V123,,D112D4F5F63F,M,B,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,F1D2S4D7F9F6,F,C,01/01/22,12/31/26,N,Y,S
DTL_BEN,00-Sucess,NG ACO -V123,,D1F2F33F5G44,M,F,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,1S2D24R6F3D2,F,I,01/01/22,12/31/26,N,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,D4F5D3D1FF2D,F,J,01/01/22,12/31/26,N,,
DTL_BEN,00-Sucess,NG ACO -V123,,4D5E7F6D1S3D1,F,B,01/01/22,12/31/26,N,,S
DTL_BEN,00-Sucess,NG ACO -V123,D,7D8ET5G7E8D5,M,C,01/01/22,6/31/22,N,,
DTL_BEN,00-Sucess,NG ACO -V123,D,H6D1F4G5DD4F,F,D,01/01/22,6/31/22,N,Y,
DTL_BEN,20 - Detail Record ID Error,NG ACO -V123,,S5D4F1D2SD45,F,E,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,D,DC4V2G5G6B3,M,F,01/01/22,6/31/22,N,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,89D4F2GJ3K4G,M,G,01/01/22,12/31/26,Y,,S
DTL_BEN,00-Sucess,NG ACO -V123,,5D6F1VB4G5F3,U,G,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,D4F5V7B1HF5G,F,H,01/01/22,12/31/26,N,Y,
DTL_BEN,00-Sucess,NG ACO -V123,,4G5H6J4KOD4S,M,I,01/01/22,12/31/26,Y,,
DTL_BEN,00-Sucess,NG ACO -V123,,F4V1B2GG4D6,F,B,01/01/22,12/31/26,N,,
DTL_BEN,00-Sucess,NG ACO -V123,,4D5F4GTHJU5F,M,C,01/01/22,12/31/26,Y,Y,
